Keywords,Sub-keywords,Frequency
delivery,pitch,3
delivery,manner_of_speaking,0
delivery,saving,2
delivery,delivery,332
delivery,deliverance,0
delivery,bringing,15
delivery,obstetrical_delivery,0
delivery,legal_transfer,0
delivery,rescue,7
delivery,livery,332
delivery,speech,4
delay,time_lag,0
delay,check,4957
delay,wait,2092
delay,postponement,0
delay,stay,1653
delay,hold_up,0
delay,holdup,0
delay,delay,1569
delay,retard,0
delay,detain,0
delay,hold,30
ship,ship,706
ship,send,891
ship,embark,2
ship,transport,0
package,computer_software,0
package,package,128
package,software,0
package,software_package,0
package,box,137
package,packet,4
package,parcel,35
package,software_program,0
package,bundle,2
package,software_system,0
track,rail,623
track,get_over,0
track,cut_through,0
track,course,36
track,racecourse,0
track,lead,42
track,tag,883
track,give_chase,0
track,go_after,0
track,data_track,0
track,runway,0
track,chase,489
track,rails,11
track,trail,14
track,caterpillar_tread,0
track,dog,145
track,get_across,0
track,cart_track,0
track,cut_across,0
track,running,1
track,cover,89
track,chase_after,0
track,traverse,0
track,racetrack,0
track,cartroad,0
track,track,163
track,raceway,0
track,pass_over,0
track,path,125
track,tail,1458
track,caterpillar_track,0
track,cut,128
track,cross,85
long,tenacious,0
long,foresightful,0
long,farsighted,0
long,yearn,0
long,retentive,0
long,prospicient,0
long,longsighted,0
long,recollective,0
long,foresighted,0
long,farseeing,0
long,hanker,1
long,long,1346
Pickup,getaway,0
Pickup,pick-me-up,0
Pickup,pickup,5
Pickup,cartridge,0
Pickup,tone_arm,0
Pickup,pickup_arm,0
Pickup,pickup_truck,0
Courier,courier,14
Courier,messenger,10
lost,recede,5
lost,drop_off,0
lost,befuddled,0
lost,confused,111
lost,bemused,0
lost,at_sea,0
lost,turn_a_loss,0
lost,confounded,0
lost,bewildered,1
lost,baffled,0
lost,lost,21
lost,lose,194
lost,deep_in_thought,0
lost,fall_behind,0
lost,preoccupied,0
lost,mazed,18
lost,mixed-up,0
lost,mislay,0
lost,fall_back,0
lost,disoriented,0
lost,helpless,0
lost,misplace,0
lost,miss,256
lost,missed,0
lost,doomed,0
lost,suffer,105
late,of_late,0
late,belated,0
late,latterly,0
late,late,640
late,recent,266
late,former,4
late,tardy,0
late,lately,12
late,later,96
late,recently,245
late,belatedly,0
late,previous,85
late,deep,413
late,tardily,0
Broken,crushed,0
Broken,intermit,1
Broken,offend,6
Broken,go,5786
Broken,wear,176
Broken,let_on,0
Broken,broken_in,0
Broken,get_around,0
Broken,confused,111
Broken,break-dance,0
Broken,impoverished,0
Broken,transgress,0
Broken,go_bad,0
Broken,low,2114
Broken,unkept,0
Broken,relegate,0
Broken,divulge,0
Broken,breach,0
Broken,fail,38
Broken,wiped_out,0
Broken,crack,16
Broken,fracture,0
Broken,ruin,15
Broken,expose,29
Broken,humiliated,0
Broken,demote,0
Broken,give_away,0
Broken,give,1316
Broken,dampen,2
Broken,discover,12
Broken,discontinue,117
Broken,fall_apart,0
Broken,burst,3
Broken,come_apart,0
Broken,founder,1
Broken,fall_in,0
Broken,break_in,0
Broken,part,807
Broken,break_down,0
Broken,disordered,0
Broken,snap_off,0
Broken,erupt,3
Broken,soften,7
Broken,break_up,0
Broken,give_out,0
Broken,busted,0
Broken,better,193
Broken,reveal,146
Broken,rugged,1
Broken,conk_out,0
Broken,pause,5
Broken,cave_in,0
Broken,break_dance,0
Broken,damp,107
Broken,weaken,3
Broken,go_against,0
Broken,bring_out,0
Broken,develop,64
Broken,split,26
Broken,infract,0
Broken,bankrupt,0
Broken,disclose,28
Broken,recrudesce,0
Broken,upset,13
Broken,smash,1
Broken,unwrap,0
Broken,collapse,0
Broken,break_away,0
Broken,interrupt,0
Broken,bump,331
Broken,separate,38
Broken,let_out,0
Broken,wear_out,0
Broken,bust,2
Broken,split_up,0
Broken,stop,304
Broken,give_way,0
Broken,violate,0
Broken,kick_downstairs,0
Broken,break_out,0
Broken,check,4957
Broken,die,926
Broken,get_out,0
Broken,break_off,0
Broken,humbled,0
Broken,break,460
Broken,broken,7
Missing,lacking,0
Missing,wanting,3
Missing,lose,194
Missing,miss,256
Missing,absent,1
Missing,drop,369
Missing,omit,8
Missing,leave_out,0
Missing,overlook,0
Missing,neglect,1
Missing,overleap,0
Missing,escape,7
Missing,missing,2
Missing,pretermit,0
Missing,lack,674
Cancel,strike_down,0
Cancel,delete,31
Cancel,scratch,1
Cancel,natural,141
Cancel,cancel,167
Cancel,offset,0
Cancel,scrub,43
Cancel,call_off,0
Cancel,set_off,0
Cancel,invalidate,0
Stolen,steal,9
Stolen,slip,5
Defective,faulty,4
Defective,defective,4
Defective,bad,492
