Category,Subcategory,Frequency
Cleansers,cleanser,1318
Cleansers,foam cleanser,0
Cleansers,gel cleanser,0
Cleansers,cream cleanser,0
Cleansers,oil cleanser,0
Cleansers,micellar water,0
Cleansers,cleansing balm,0
Cleansers,exfoliating cleanser,0
Cleansers,clay cleanser,0
Exfoliants,exfoliant,112
Exfoliants,physical exfoliant,0
Exfoliants,scrub,43
Exfoliants,chemical exfoliant,0
Exfoliants,aha,2646
Exfoliants,bha,1595
Exfoliants,pha,3048
Exfoliants,enzyme exfoliant,0
Exfoliants,exfoliating pads,0
Toners,toner,1077
Toners,hydrating toner,0
Toners,astringent toner,0
Toners,exfoliating toner,0
Toners,balancing toner,0
Toners,essence toner,0
Serums,serum,7156
Serums,hydrating serum,0
Serums,brightening serum,0
Serums,anti-aging serum,0
Serums,exfoliating serum,0
Serums,antioxidant serum,0
Serums,calming serum,0
Serums,firming serum,0
Moisturizers,moisturizer,1706
Moisturizers,day cream,0
Moisturizers,night cream,0
Moisturizers,gel moisturizer,0
Moisturizers,lotion,449
Moisturizers,cream,1418
Moisturizers,ointment,12
Moisturizers,hydrating gel,0
Moisturizers,oil-free moisturizer,0
Eye Creams,eye cream,0
Eye Creams,anti-aging eye cream,0
Eye Creams,hydrating eye cream,0
Eye Creams,depuffing eye cream,0
Eye Creams,brightening eye cream,0
Eye Creams,firming eye cream,0
Masks,mask,293
Masks,sheet mask,0
Masks,clay mask,0
Masks,peel-off mask,0
Masks,overnight mask,0
Masks,gel mask,0
Masks,cream mask,0
Masks,mud mask,0
Masks,bubble mask,0
Treatments,treatment,326
Treatments,spot treatment,0
Treatments,acne treatment,0
Treatments,scar treatment,0
Treatments,dark spot corrector,0
Treatments,retinol treatment,0
Treatments,peptide treatment,0
Treatments,anti-redness treatment,0
Sunscreens,sunscreen,3439
Sunscreens,chemical sunscreen,0
Sunscreens,physical sunscreen,0
Sunscreens,mineral sunscreen,0
Sunscreens,tinted sunscreen,0
Sunscreens,spray sunscreen,0
Sunscreens,stick sunscreen,0
Sunscreens,moisturizing sunscreen,0
Sunscreens,water-resistant sunscreen,0
Oils,oil,3186
Oils,facial oil,0
Oils,dry oil,0
Oils,essential oil blends,0
Oils,balancing oil,0
Oils,nourishing oil,0
Mists,mist,140
Mists,hydrating mist,0
Mists,setting mist,0
Mists,soothing mist,0
Mists,refreshing mist,0
Specialty Products,neck cream,0
Specialty Products,lip balm,0
Specialty Products,lip scrub,0
Specialty Products,lip mask,0
Specialty Products,face primer,0
